wl,n,,wl,k,alpha,,,,,,"Z. Holman, M. Filipic, A. Descoeudres, S. De Wolf, F. Smole, M. Topic and C. Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', Journal of Applied Physics 113(1), p. 013107, 2013."
(nm),,,(nm),,,,,,,,
845,2.028,,845,1.15E-03,171,,,,,,
850,2.028,,850,1.17E-03,173,,,,,,
855,2.027,,855,1.20E-03,176.4,,,,,,
860,2.026,,860,1.22E-03,178.3,,,,,,
865,2.026,,865,1.24E-03,180.1,,,,,,
870,2.025,,870,1.26E-03,182,,,,,,
875,2.025,,875,1.28E-03,183.8,,,,,,
880,2.024,,880,1.30E-03,185.6,,,,,,
885,2.024,,885,1.33E-03,188.9,,,,,,
890,2.023,,890,1.35E-03,190.6,,,,,,
895,2.022,,895,1.37E-03,192.4,,,,,,
900,2.022,,900,1.40E-03,195.5,,,,,,
905,2.021,,905,1.42E-03,197.2,,,,,,
910,2.021,,910,1.44E-03,198.9,,,,,,
915,2.02,,915,1.47E-03,201.9,,,,,,
920,2.02,,920,1.49E-03,203.5,,,,,,
925,2.019,,925,1.52E-03,206.5,,,,,,
930,2.019,,930,1.54E-03,208.1,,,,,,
935,2.018,,935,1.57E-03,211,,,,,,
940,2.018,,940,1.59E-03,212.6,,,,,,
945,2.017,,945,1.62E-03,215.4,,,,,,
950,2.017,,950,1.64E-03,216.9,,,,,,
955,2.016,,955,1.67E-03,219.7,,,,,,
960,2.016,,960,1.69E-03,221.2,,,,,,
965,2.015,,965,1.72E-03,224,,,,,,
970,2.015,,970,1.75E-03,226.7,,,,,,
975,2.015,,975,1.78E-03,229.4,,,,,,
980,2.014,,980,1.80E-03,230.8,,,,,,
985,2.014,,985,1.83E-03,233.5,,,,,,
990,2.013,,990,1.86E-03,236.1,,,,,,
995,2.013,,995,1.89E-03,238.7,,,,,,
1000,2.012,,1000,1.92E-03,241.3,,,,,,
1005,2.012,,1005,1.94E-03,242.6,,,,,,
1010,2.012,,1010,1.97E-03,245.1,,,,,,
1015,2.011,,1015,2.00E-03,247.6,,,,,,
1020,2.011,,1020,2.03E-03,250.1,,,,,,
1025,2.01,,1025,2.06E-03,252.6,,,,,,
1030,2.01,,1030,2.09E-03,255,,,,,,
1035,2.009,,1035,2.12E-03,257.4,,,,,,
1040,2.009,,1040,2.15E-03,259.8,,,,,,
1045,2.009,,1045,2.19E-03,263.4,,,,,,
1050,2.008,,1050,2.22E-03,265.7,,,,,,
1055,2.008,,1055,2.25E-03,268,,,,,,
1060,2.008,,1060,2.28E-03,270.3,,,,,,
1065,2.007,,1065,2.31E-03,272.6,,,,,,
1070,2.007,,1070,2.35E-03,276,,,,,,
1075,2.006,,1075,2.38E-03,278.2,,,,,,
1080,2.006,,1080,2.41E-03,280.4,,,,,,
1085,2.006,,1085,2.45E-03,283.8,,,,,,
1090,2.005,,1090,2.48E-03,285.9,,,,,,
1095,2.005,,1095,2.51E-03,288.1,,,,,,
1100,2.005,,1100,2.55E-03,291.3,,,,,,
1105,2.004,,1105,2.58E-03,293.4,,,,,,
1110,2.004,,1110,2.62E-03,296.6,,,,,,
1115,2.003,,1115,2.65E-03,298.7,,,,,,
1120,2.003,,1120,2.69E-03,301.8,,,,,,
1125,2.003,,1125,2.73E-03,304.9,,,,,,
1130,2.002,,1130,2.76E-03,306.9,,,,,,
1135,2.002,,1135,2.80E-03,310,,,,,,
1140,2.002,,1140,2.84E-03,313.1,,,,,,
1145,2.001,,1145,2.87E-03,315,,,,,,
1150,2.001,,1150,2.91E-03,318,,,,,,
1155,2.001,,1155,2.95E-03,321,,,,,,
1160,2,,1160,2.99E-03,323.9,,,,,,
1165,2,,1165,3.03E-03,326.8,,,,,,
1170,2,,1170,3.07E-03,329.7,,,,,,
1175,1.999,,1175,3.10E-03,331.5,,,,,,
1180,1.999,,1180,3.14E-03,334.4,,,,,,
1185,1.999,,1185,3.18E-03,337.2,,,,,,
1190,1.998,,1190,3.22E-03,340,,,,,,
1195,1.998,,1195,3.27E-03,343.9,,,,,,
1200,1.998,,1200,3.31E-03,346.6,,,,,,
1205,1.997,,1205,3.35E-03,349.4,,,,,,
1210,1.997,,1210,3.39E-03,352.1,,,,,,
1215,1.997,,1215,3.43E-03,354.8,,,,,,
1220,1.996,,1220,3.47E-03,357.4,,,,,,
1225,1.996,,1225,3.51E-03,360.1,,,,,,
1230,1.996,,1230,3.56E-03,363.7,,,,,,
1235,1.996,,1235,3.60E-03,366.3,,,,,,
1240,1.995,,1240,3.64E-03,368.9,,,,,,
1245,1.995,,1245,3.69E-03,372.4,,,,,,
1250,1.995,,1250,3.73E-03,375,,,,,,
1255,1.994,,1255,3.78E-03,378.5,,,,,,
1260,1.994,,1260,3.82E-03,381,,,,,,
1265,1.994,,1265,3.87E-03,384.4,,,,,,
1270,1.993,,1270,3.91E-03,386.9,,,,,,
1275,1.993,,1275,3.96E-03,390.3,,,,,,
1280,1.993,,1280,4.01E-03,393.7,,,,,,
1285,1.992,,1285,4.05E-03,396.1,,,,,,
1290,1.992,,1290,4.10E-03,399.4,,,,,,
1295,1.992,,1295,4.15E-03,402.7,,,,,,
1300,1.992,,1300,4.19E-03,405,,,,,,
1305,1.991,,1305,4.24E-03,408.3,,,,,,
1310,1.991,,1310,4.29E-03,411.5,,,,,,
1315,1.991,,1315,4.34E-03,414.7,,,,,,
1320,1.99,,1320,4.39E-03,417.9,,,,,,
1325,1.99,,1325,4.44E-03,421.1,,,,,,
1330,1.99,,1330,4.49E-03,424.2,,,,,,
1335,1.99,,1335,4.54E-03,427.4,,,,,,
1340,1.989,,1340,4.59E-03,430.4,,,,,,
1345,1.989,,1345,4.64E-03,433.5,,,,,,
1350,1.989,,1350,4.69E-03,436.6,,,,,,
1355,1.988,,1355,4.74E-03,439.6,,,,,,
1360,1.988,,1360,4.80E-03,443.5,,,,,,
1365,1.988,,1365,4.85E-03,446.5,,,,,,
1370,1.987,,1370,4.90E-03,449.5,,,,,,
1375,1.987,,1375,4.95E-03,452.4,,,,,,
1380,1.987,,1380,5.01E-03,456.2,,,,,,
1385,1.987,,1385,5.06E-03,459.1,,,,,,
1390,1.986,,1390,5.12E-03,462.9,,,,,,
1395,1.986,,1395,5.17E-03,465.7,,,,,,
1400,1.986,,1400,5.23E-03,469.4,,,,,,
1405,1.986,,1405,5.28E-03,472.2,,,,,,
1410,1.985,,1410,5.34E-03,475.9,,,,,,
1415,1.985,,1415,5.39E-03,478.7,,,,,,
1420,1.985,,1420,5.45E-03,482.3,,,,,,
1425,1.984,,1425,5.51E-03,485.9,,,,,,
1430,1.984,,1430,5.56E-03,488.6,,,,,,
1435,1.984,,1435,5.62E-03,492.1,,,,,,
1440,1.984,,1440,5.68E-03,495.7,,,,,,
1445,1.983,,1445,5.74E-03,499.2,,,,,,
1450,1.983,,1450,5.80E-03,502.7,,,,,,
1455,1.983,,1455,5.86E-03,506.1,,,,,,
1460,1.982,,1460,5.92E-03,509.5,,,,,,
1465,1.982,,1465,5.98E-03,512.9,,,,,,
1470,1.982,,1470,6.04E-03,516.3,,,,,,
1475,1.982,,1475,6.10E-03,519.7,,,,,,
1480,1.981,,1480,6.16E-03,523,,,,,,
1485,1.981,,1485,6.22E-03,526.3,,,,,,
1490,1.981,,1490,6.28E-03,529.6,,,,,,
1495,1.981,,1495,6.35E-03,533.8,,,,,,
1500,1.98,,1500,6.41E-03,537,,,,,,
1505,1.98,,1505,6.47E-03,540.2,,,,,,
1510,1.98,,1510,6.54E-03,544.3,,,,,,
1515,1.979,,1515,6.60E-03,547.4,,,,,,
1520,1.979,,1520,6.66E-03,550.6,,,,,,
1525,1.979,,1525,6.73E-03,554.6,,,,,,
1530,1.979,,1530,6.79E-03,557.7,,,,,,
1535,1.978,,1535,6.86E-03,561.6,,,,,,
1540,1.978,,1540,6.93E-03,565.5,,,,,,
1545,1.978,,1545,6.99E-03,568.5,,,,,,
1550,1.978,,1550,7.06E-03,572.4,,,,,,
1555,1.977,,1555,7.13E-03,576.2,,,,,,
1560,1.977,,1560,7.20E-03,580,,,,,,
1565,1.977,,1565,7.26E-03,583,,,,,,
1570,1.976,,1570,7.33E-03,586.7,,,,,,
1575,1.976,,1575,7.40E-03,590.4,,,,,,
1580,1.976,,1580,7.47E-03,594.1,,,,,,
1585,1.976,,1585,7.54E-03,597.8,,,,,,
1590,1.975,,1590,7.61E-03,601.4,,,,,,
1595,1.975,,1595,7.68E-03,605.1,,,,,,
1600,1.975,,1600,7.75E-03,608.7,,,,,,
1605,1.975,,1605,7.82E-03,612.3,,,,,,
1610,1.974,,1610,7.89E-03,615.8,,,,,,
1615,1.974,,1615,7.97E-03,620.1,,,,,,
1620,1.974,,1620,8.04E-03,623.7,,,,,,
1625,1.974,,1625,8.11E-03,627.2,,,,,,
1630,1.973,,1630,8.19E-03,631.4,,,,,,
1635,1.973,,1635,8.26E-03,634.9,,,,,,
1640,1.973,,1640,8.34E-03,639,,,,,,
1645,1.972,,1645,8.41E-03,642.5,,,,,,
1650,1.972,,1650,8.49E-03,646.6,,,,,,
1655,1.972,,1655,8.56E-03,650,,,,,,
1660,1.972,,1660,8.64E-03,654.1,,,,,,
1665,1.971,,1665,8.72E-03,658.1,,,,,,
1670,1.971,,1670,8.79E-03,661.4,,,,,,
1675,1.971,,1675,8.87E-03,665.5,,,,,,
1680,1.971,,1680,8.95E-03,669.5,,,,,,
1685,1.97,,1685,9.03E-03,673.4,,,,,,
1690,1.97,,1690,9.10E-03,676.7,,,,,,
1695,1.97,,1695,9.18E-03,680.6,,,,,,
1700,1.969,,1700,9.26E-03,684.5,,,,,,
1705,1.969,,1705,9.34E-03,688.4,,,,,,
1710,1.969,,1710,9.42E-03,692.3,,,,,,
1715,1.969,,1715,9.50E-03,696.1,,,,,,
1720,1.968,,1720,9.59E-03,700.6,,,,,,
1725,1.968,,1725,9.67E-03,704.4,,,,,,
1730,1.968,,1730,9.75E-03,708.2,,,,,,
1735,1.968,,1735,9.83E-03,712,,,,,,
1740,1.967,,1740,9.92E-03,716.4,,,,,,
1745,1.967,,1745,1.00E-02,720.1,,,,,,
1750,1.967,,1750,1.01E-02,724.5,,,,,,
1755,1.967,,1755,1.02E-02,728.2,,,,,,
1760,1.966,,1760,1.03E-02,732.6,,,,,,
1765,1.966,,1765,1.03E-02,736.2,,,,,,
1770,1.966,,1770,1.04E-02,740.5,,,,,,
1775,1.965,,1775,1.05E-02,744.1,,,,,,
1780,1.965,,1780,1.06E-02,748.3,,,,,,
1785,1.965,,1785,1.07E-02,752.6,,,,,,
1790,1.965,,1790,1.08E-02,756.1,,,,,,
1795,1.964,,1795,1.09E-02,760.3,,,,,,
